Country,Year,ICD rev and list,Cause details,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Greece,1997,09B,B54,F,01,55,0,0,0,0,0,0,0,1,5,4,1,3,4,5,3,8,2,4,5,5,1,4,,,0
Greece,1997,09B,B54,M,01,319,0,0,0,0,0,0,2,13,31,42,26,31,16,22,26,18,18,20,16,10,15,13,,,0
Greece,1996,09B,B54,F,01,62,0,0,0,0,0,0,0,3,2,2,7,1,3,5,5,5,4,5,5,5,5,5,,,0
Greece,1996,09B,B54,M,01,294,0,0,0,0,0,0,0,7,15,29,32,30,15,23,19,22,30,30,10,13,13,6,,,0
Greece,1995,09B,B54,F,01,64,0,0,0,0,0,0,0,6,0,6,5,5,1,5,4,3,12,6,5,1,3,2,,,0
Greece,1995,09B,B54,M,01,306,0,0,0,0,0,0,0,9,26,28,30,29,17,23,22,16,23,17,19,13,17,17,,,0
Greece,1994,09B,B54,F,01,74,0,0,0,0,0,0,0,2,1,4,5,4,5,1,8,5,13,11,4,4,3,4,,,0
Greece,1994,09B,B54,M,01,281,0,0,0,0,0,0,2,13,20,24,20,16,16,30,14,26,20,24,18,16,12,10,,,0
Greece,1993,09B,B54,M,01,308,0,0,0,0,0,0,2,7,22,26,23,30,26,16,25,30,24,20,21,9,21,6,,,0
Greece,1993,09B,B54,F,01,104,0,0,0,0,0,0,1,5,1,4,10,4,3,10,12,8,10,9,10,8,2,7,,,0
Greece,1992,09B,B54,F,01,72,0,0,0,0,0,0,0,4,0,7,3,5,5,6,2,7,9,5,7,3,4,5,,,0
Greece,1992,09B,B54,M,01,279,0,0,0,0,0,0,2,5,16,17,22,16,23,17,27,25,22,25,18,20,16,8,,,0
Greece,1991,09B,B54,F,01,84,0,0,0,0,0,0,0,1,4,4,6,4,8,7,9,6,11,6,3,5,6,4,,,0
Greece,1991,09B,B54,M,01,297,0,0,0,0,0,0,4,8,23,17,21,20,20,18,23,26,25,24,20,15,22,11,,,0
Greece,1990,09B,B54,M,01,271,0,0,0,0,0,0,3,8,32,24,22,17,20,11,20,23,20,14,11,18,17,11,,,0
Greece,1990,09B,B54,F,01,78,0,0,0,0,0,0,0,2,6,5,6,3,3,9,10,3,11,9,2,4,3,2,,,0
Greece,1989,09B,B54,F,01,105,0,0,0,0,0,0,0,6,1,8,8,4,11,4,9,8,16,8,8,5,4,5,,,0
Greece,1989,09B,B54,M,01,278,0,0,0,0,0,0,4,8,24,30,23,22,23,16,19,22,14,17,17,14,18,7,,,0
Greece,1988,09B,B54,F,01,115,0,0,0,0,0,0,0,1,3,7,4,5,5,8,11,14,7,16,13,13,3,5,,,0
Greece,1988,09B,B54,M,01,288,0,0,0,0,0,0,0,14,23,28,24,23,14,14,21,30,27,14,12,23,9,12,,,0
Greece,1987,09B,B54,F,01,114,0,0,0,0,0,0,1,10,2,6,3,6,5,10,14,16,13,7,7,7,4,3,,,0
Greece,1987,09B,B54,M,01,296,0,0,0,0,0,0,3,11,23,16,30,17,23,16,25,26,26,9,17,21,23,10,,,0
Greece,1986,09B,B54,F,01,101,0,0,0,0,0,0,0,5,8,6,4,6,6,7,9,14,8,5,6,9,6,2,,,0
Greece,1986,09B,B54,M,01,292,0,0,0,0,0,0,0,8,35,29,24,13,12,15,23,21,23,22,20,24,17,6,,,0
Greece,1985,09B,B54,M,01,277,0,0,0,0,0,0,0,13,22,21,19,21,16,24,21,22,25,17,21,17,12,6,,,0
Greece,1985,09B,B54,F,01,128,0,0,0,0,0,0,0,7,6,3,15,6,5,8,16,17,7,9,14,4,6,5,,,0
Greece,1984,09B,B54,F,01,109,0,0,0,0,0,0,1,9,6,10,11,7,3,12,11,7,8,9,9,4,2,0,,,0
Greece,1984,09B,B54,M,01,280,0,0,0,0,0,0,2,13,22,25,19,16,19,21,21,28,23,15,21,16,12,7,,,0
Greece,1983,09B,B54,M,01,266,0,0,0,0,0,0,7,18,22,26,22,16,10,20,19,26,19,13,17,13,11,7,,,0
Greece,1983,09B,B54,F,01,102,0,0,0,0,0,0,1,9,6,3,6,5,2,9,15,6,9,6,9,5,10,1,,,0
Greece,1982,09B,B54,F,01,105,0,0,0,0,0,0,1,9,8,9,7,3,5,11,8,8,7,10,7,5,3,4,,,0
Greece,1982,09B,B54,M,01,242,0,0,0,0,0,0,2,5,17,13,18,19,20,15,17,31,16,19,22,15,9,4,,,0
Greece,1981,09B,B54,F,01,102,0,0,0,0,0,0,3,5,5,8,10,4,1,14,8,6,9,6,8,10,3,2,,,0
Greece,1981,09B,B54,M,01,220,0,0,0,0,0,0,1,6,17,20,18,16,13,13,25,18,16,16,16,10,10,5,,,0
Greece,1980,09B,B54,F,01,93,0,0,0,0,0,0,1,2,2,3,4,6,6,7,12,6,8,6,13,7,6,4,,,0
Greece,1980,09B,B54,M,01,222,0,0,0,0,0,0,5,6,16,17,18,11,22,11,22,15,8,19,18,9,17,7,,,1
Greece,1979,09B,B54,F,01,91,0,0,0,0,0,0,1,1,7,4,5,7,4,8,14,6,6,7,7,5,4,5,,,0
Greece,1979,09B,B54,M,01,186,0,0,0,0,0,0,2,7,16,7,9,9,13,16,22,11,16,21,14,16,7,0,,,0
