Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Greece,2013,094,A,M,00,425,0,0,0,0,0,0,0,7,18,27,28,27,34,51,40,52,38,23,28,20,18,10,4,0,0
Greece,2013,094,A,F,00,108,0,0,0,0,0,0,1,0,4,7,12,9,9,10,9,11,10,11,2,9,1,3,0,0,0
Greece,2012,094,A,M,00,417,0,0,0,0,0,0,0,4,20,16,30,33,57,40,37,40,32,19,26,30,19,11,2,1,0
Greece,2012,094,A,F,00,91,0,0,0,0,0,0,1,4,3,6,9,9,8,5,6,8,7,5,6,6,4,2,1,1,0
Greece,2011,094,A,M,00,393,0,0,0,0,0,0,0,6,14,27,27,33,32,42,50,39,34,18,19,20,20,9,2,1,0
Greece,2011,094,A,F,00,84,0,0,0,0,0,0,0,5,6,5,9,12,6,7,4,5,5,1,5,7,4,2,1,0,0
Greece,2010,094,A,M,00,336,0,0,0,0,0,0,0,4,11,18,35,23,27,34,44,27,26,15,17,15,25,11,3,1,0
Greece,2010,094,A,F,00,41,0,0,0,0,0,0,0,2,2,3,3,4,6,1,3,2,1,5,3,2,3,0,1,0,0
Greece,2009,094,A,M,00,333,0,0,0,0,0,0,0,5,12,21,35,28,22,38,42,25,28,16,12,19,19,7,4,0,0
Greece,2009,094,A,F,00,58,0,0,0,0,0,0,0,1,1,6,5,6,5,6,3,6,1,6,3,3,5,1,0,0,0
Greece,2008,094,A,M,00,308,0,0,0,0,0,0,0,3,12,27,25,27,25,36,27,23,19,15,14,27,16,9,2,1,0
Greece,2008,094,A,F,00,65,0,0,0,0,0,0,0,0,0,3,5,6,9,11,9,2,5,3,4,5,2,1,0,0,0
Greece,2007,094,A,M,00,268,0,0,0,0,0,0,1,6,13,27,20,17,36,25,23,22,15,16,22,10,7,6,2,0,0
Greece,2007,094,A,F,00,60,0,0,0,0,0,0,0,3,2,9,3,5,3,6,6,1,4,2,5,4,4,1,2,0,0
Greece,2006,094,A,M,00,326,0,0,0,0,0,0,0,3,18,24,23,28,28,35,24,28,19,17,19,30,21,5,4,0,0
Greece,2006,094,A,F,00,68,0,0,0,0,0,0,1,3,1,5,7,3,5,8,9,6,8,2,1,4,3,2,0,0,0
Greece,2005,094,A,M,00,321,0,0,0,0,0,0,2,5,13,26,19,36,25,23,27,20,18,22,30,20,18,10,4,3,0
Greece,2005,094,A,F,00,79,0,0,0,0,0,0,0,4,5,6,8,8,12,7,1,6,2,8,1,5,3,1,1,1,0
Greece,2004,094,A,M,00,285,0,0,0,0,0,0,2,6,16,20,27,18,27,28,19,22,15,26,12,21,15,4,5,2,0
Greece,2004,094,A,F,00,68,0,0,0,0,0,0,0,2,0,4,8,7,8,4,5,3,4,12,8,1,2,0,0,0,0
Greece,2003,094,A,M,00,306,0,0,0,0,0,0,0,6,18,19,27,22,31,34,31,26,19,22,18,14,9,4,4,2,0
Greece,2003,094,A,F,00,69,0,0,0,0,0,0,2,1,6,1,10,7,4,7,6,5,3,9,3,3,1,0,1,0,0
Greece,2002,094,A,M,00,257,0,0,0,0,0,0,0,10,16,18,16,19,16,25,16,19,21,21,26,19,7,4,4,0,0
Greece,2002,094,A,F,00,66,0,0,0,0,0,0,0,2,2,6,5,2,5,8,2,3,7,7,6,4,2,5,0,0,0
Greece,2001,094,A,M,00,286,0,0,0,0,0,0,2,7,16,29,19,29,28,20,22,25,14,20,25,14,11,4,1,0,0
Greece,2001,094,A,F,00,48,0,0,0,0,0,0,1,1,1,2,3,5,6,2,6,5,1,2,3,4,2,3,1,0,0
Greece,2000,094,A,M,00,298,0,0,0,0,0,0,2,12,19,33,24,26,25,19,27,17,21,21,22,12,9,5,4,0,0
Greece,2000,094,A,F,00,84,0,0,0,0,0,0,0,7,3,5,9,5,5,2,13,2,11,4,6,7,3,2,0,0,0
Greece,1999,094,A,M,00,296,0,0,0,0,0,0,0,10,19,30,29,17,26,23,25,26,21,17,19,10,10,11,2,1,0
Greece,1999,094,A,F,00,85,0,0,0,0,0,0,0,2,5,4,12,4,5,9,6,5,4,11,8,6,2,1,0,1,0
Greece,1998,094,A,M,00,315,0,0,0,0,0,0,0,4,20,37,23,21,25,22,19,28,28,28,21,17,8,8,5,1,0
Greece,1998,094,A,F,00,88,0,0,0,0,0,0,1,2,1,8,9,5,6,5,10,13,11,2,11,3,0,1,0,0,0
